cve_id,description,cvss,attack_vector,privileges,product,version,operator,exploit,label
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,8.1.24,<,FALSE,MEDIUM
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,9.0.17,<,FALSE,MEDIUM
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,9.1.16,<,FALSE,MEDIUM
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,10.0.11,<,FALSE,MEDIUM
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,10.1.6,<,FALSE,MEDIUM
CVE-2024-0007,A cross-site scripting (XSS) vulnerability in Palo Alto Networks PAN-OS software enables a malicious authenticated read-write administrator to store a JavaScript payload using the web interface on Panorama appliances. This enables the impersonation of another authenticated administrator.,4.8,NETWORK,HIGH,pan-os,8.1.24,==,FALSE,MEDIUM
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,10.2.5,<,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,11.0.2,<,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,10.1.10,<,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,10.1.10,==,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,10.0.12,<,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,10.0.12,==,FALSE,HIGH
CVE-2024-0008,"Web sessions in the management interface in Palo Alto Networks PAN-OS software do not expire in certain situations, making it susceptible to unauthorized access.",8.8,NETWORK,NONE,pan-os,9.1.17,<,FALSE,HIGH
